Sample	dplyr	optparse	R	alakazam	shazam	stringr	knitr	igblastn	changeo	enchantr	airr	stringi	DT	nf-core/airrflow	Nextflow
ADD_META_TO_TAB	1.1.4	1.7.5	4.4.2												
AIRRFLOW_REPORT	1.1.4		4.4.2	1.3.0	1.2.0	1.5.1	1.49								
CHANGEO_ASSIGNGENES								1.22.0	1.3.0						
CHANGEO_MAKEDB								1.22.0	1.3.0						
CHANGEO_PARSEDB_SPLIT									1.3.0						
COLLAPSE_DUPLICATES										0.1.19					
DEFINE_CLONES_REPORT										0.1.19					
FILTER_JUNCTION_MOD3		1.7.5	4.4.2	1.3.0							1.5.0				
FILTER_QUALITY	1.1.4	1.7.5	4.4.2	1.3.0							1.5.0	1.8.4	0.33		
REPORT_FILE_SIZE										0.1.19					
VALIDATE_INPUT										0.1.19					
Workflow														v4.2.0-gd91dd84	24.10.1
